tweet, class
breast cancer devise,3
workload harm,2
short people heart greater,1
approach promise,0
coalition undermine doctor,0
review manager,0
video empty going,2
video overhaul need,2
dying need overhaul,2
video labour policy,1
services worse,2
waiting worst level,0
party opening hours,2
strenuous,2
video health surcharge patient,2
video cancer spike holiday,2
80000 might future outbreak,1
cancer link holiday,3
public rise,2
video welcome designer asylum,2
video,2
idea transform,2
personal cancer vaccine excite,0
child heart surgery death halve,1
video miliband cameron fail,2
unsafe growing global threat,3
health highlight,2
ambulance progress enough,2
child hospital build sleep,0
giant block treatment,2
blood syndrome hail,1
video future,2
paracetamol,2
system big shake,2
video could exist drug offer,2
already,2
video nursing conduct launch,0
video disability village threat,2
uganda circumcision truck fight,0
veteran mental health,2
cigarette among teens,3
medieval remedy kill,0
parent rarely child obesity,0
video vaccine protect meningitis,1
chikungunya revive herbal remedy antigua,1
bolivian woman parts hearts,2
meningitis vaccine agree,3
video saving knitter,0
guinea declare ebola emergency,0
video warning seven,2
child mental health issue,2
tory pledge seven,0
video military healthcare worker ebola,0
labour private profits,3
british medic declare ebola,0
labour private profits,3
sierra leone ebola lockdown,0
video sitting pose health,2
video diarrhoea killing poor child,0
office worker sedentary,2
medical accident need,3
fitness link lower cancer,3
indiana emergency epidemic,3
first europe beating heart,1
video make healthy street,0
video england deteriorate,0
video sport mental health,2
unhealthy street reveal,2
problem worst since 1990s,1
entire nation assess,0
ebola deadly young child,1
contaminate blood probe report,1
antibiotic link diabetes,1
approach obesity inexplicable,1
pollution stroke,1
carers little travel,1
three cycle brainer,3
ebola focus killer disease ignore,2
preventive surgery cancer gene,3
video school battle obesity,1
angelina jolie ovary remove,2
video radha guide healthy,0
methadone programme black,3
hospital mental health absence,2
video could cannabis cancer,1
fewer calorie,1
medic humanitarian motive,1
video child eating healthily,1
ashya brain cancer,1
video charity slam global ebola response,0
hospital staff grade,0
disease carry mosquito warning,3
ebola change world,0
early ebola ignore,0
deadly secret scourge betel,3
video hopeful,2
video criticism vaccine delay,2
campaigner vaccine,0
video con husband damages,1
video happy,2
mental health budget,2
ebola proof tablet device develop,0
video young carer describe challenge,0
video toxic prompt health warning,1
child tooth decay,1
blood could antibiotic,3
global tobacco control,3
doctor confidence,2
morbidly obese could,1
breastfeed link higher,1
privately hospital scheme,0
morbidly obese could,1
drug,0
drug,0
selfie danger solar eclipse,3
video child mental health services break,2
dentist probe patient contract virus,0
video partner,3
trust special measure,2
video burnham mental health scandal,2
video pharmacist extremely skilled,0
video child mental health need overhaul,2
video pharmacist support,2
pharmacist,0
child mental health face overhaul,2
ebola seventh,0
video mother warn meningitis,0
flying doctor fleet unveil,0
inactive child couch potato,1
pioneer surgery save bowels,2
parent special need lottery,0
sleep diabetes,1
improve,2
video mental health spending boost,2
mental health funding boost,2
testosterone boost could death,0
video microbe,2
video hospital struggle  target,0
first successful penis transplant,0
video british ebola worker observation,0
scarlet fever case reach,3
vaccine meningitis,3
winter,2
 target miss whole winter,0
union call incident stunt,3
video daughter might,0
measles ebola country,0
hospital struggle,0
video terry pratchett legacy research,2
flight ebola patient,0
criticise england cancer services,0
introduce charge,3
powerhouse medicine,2
military health worker ebola,0
standardise cigarette pack,1
brain injury birth award,1
smoking measure working,1
video lucas question spending priority,2
using legal high worse worse,0
cigarette plain packaging,2
video living early onset alzheimer,2
starting fire,0
video menopause support workplace,1
user clot stroke,1
obesity pill,1
rwandan healthier english,2
warning young diabetic health,1
section rates widely,3
frankie sniff cancer’,3
whistleblower demand,0
restriction ebola nurse,0
video mental health right propose,2
burns,1
disrupt chemical billions’,1
mental health right propose,2
video child syndrome,2
fixation  target,0
video guide blind people,2
technology help visually impair navigate,2
prison smoking prosecution,3
video meningitis,3
liberia ebola,0
hospital crisis operations,0
billion untreated tooth decay,1
plumber report home,3
autism appear largely genetic,3
video cancer target miss 20000 people,0
video fear future ebola orphanage,0
another scandal brewing,2
clegg election pledge,2
adult every years,2
worker short change,2
video change parent,2
tablet video combat,1
video coffee,3
unison vote accept,3
formal child heart surgery,1
hospital investigation,0
cancer patient england,0
 waiting target miss,0
sierra leone fight ebola,0
death inquiry report,3
coffee link cleaner artery,3
video hide victim ebola crisis,0
shortage pressure doctor,0
allow caring,1
driver target rule,0
child health election issue,2
humans getting clever,1
concern online gonorrhoea,3
distinct stage found study,1
wobbly brain important,1
video improve palliative mexico,2
music,0
,0
start,0
leukaemia change almost inevitable,1
sentence doctor change,0
savile risk today,2
savile abuse people hospital,3
video dementia small child,2
energy drink,1
dispute outdoor smoking,0
hospital staff savile abuse,0
analysis changer,3
take aback measles outbreak,0
area,0
video scientist defend vaccine choice,2
video health devolution greater manchester,2
depression violent crime,2
spots alzheimer disease,2
drug healthy,0
council control budget,2
tobacco kill three smoker,1
patient waiting target miss,0
avastin,3
black alert trust stops 1000,3
 times patient,0
teenage pregnancy record,0
inspection purpose,1
video finger pulse bionic research,2
support fear delay discharge,2
dementia research matchmaker scheme,2
